Img,Path,Bg-Path,Mean,Std,Spot-fg SNR,Spot-bg SNR,Fg-Bg SNR,Spot mean,Fg mean,Bg mean
Cyc01R_AN95_L532S,C:\Users\Mo\OneDrive\Work_Notes\OBI\CV-Images\SNR analysis\ExampleExp\Cyc01R\AcqData\AN95_L532S.tif,,9.5444917678833,5.795309452812238,0.6492443116413826,1.7703257386083335,2.726748169934206,2549.364864864865,3926.664922823437,1440.0541150516967
Cyc01R_AN95_L647S,C:\Users\Mo\OneDrive\Work_Notes\OBI\CV-Images\SNR analysis\ExampleExp\Cyc01R\AcqData\AN95_L647S.tif,,2.5960512161254883,1.0763836537601204,1.1762093792165067,2.0732821338081626,1.7626811777246767,1113.057902973396,946.3093243779633,536.857905069077
Cyc01R_AN95_L532S,C:\Users\Mo\OneDrive\Work_Notes\OBI\CV-Images\SNR analysis\ExampleExp\Cyc01R\AcqData\AN95_L532S.tif,,9.5444917678833,5.795309452812238,1.0896934830639355,2.9710286685526706,2.72648108365199,4278.442060085837,3926.2803041236575,1440.0541150516967
Cyc01R_AN95_L647S,C:\Users\Mo\OneDrive\Work_Notes\OBI\CV-Images\SNR analysis\ExampleExp\Cyc01R\AcqData\AN95_L647S.tif,,2.5960512161254883,1.0763836537601204,1.2312467408209313,2.170169275451553,1.7625786964557544,1165.0725308641975,946.2543064986208,536.857905069077
Cyc01R_AN95_L532S,C:\Users\Mo\OneDrive\Work_Notes\OBI\CV-Images\SNR analysis\ExampleExp\Cyc01R\AcqData\AN95_L532S.tif,,9.5444917678833,5.795309452812238,0.7603884503607625,2.073410329316609,2.7267777782959355,2985.8230769230768,3926.707560466585,1440.0541150516967
Cyc01R_AN95_L647S,C:\Users\Mo\OneDrive\Work_Notes\OBI\CV-Images\SNR analysis\ExampleExp\Cyc01R\AcqData\AN95_L647S.tif,,2.5960512161254883,1.0763836537601204,1.1950887611814458,2.106517591414623,1.7626453028745355,1130.9006211180124,946.2900646810718,536.857905069077
Cyc01R_AN95_L532S,C:\Users\Mo\OneDrive\Work_Notes\OBI\CV-Images\SNR analysis\ExampleExp\Cyc01R\AcqData\AN95_L532S.tif,,9.5444917678833,5.795309452812238,0.7004676456668003,1.9100208142071047,2.726779496558884,2750.5333333333333,3926.710034858215,1440.0541150516967
Cyc01R_AN95_L647S,C:\Users\Mo\OneDrive\Work_Notes\OBI\CV-Images\SNR analysis\ExampleExp\Cyc01R\AcqData\AN95_L647S.tif,,2.5960512161254883,1.0763836537601204,1.190448073764764,2.0983481175519048,1.762654049173206,1126.5147744945568,946.2947602006532,536.857905069077
